# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	25055
#@/user_id	c10b546d-9061-4101-80d7-81e8dd66747f
a 	啊	c=107 d=7.79577 t=25055
cai bu dao 	猜不到	c=1 d=0.181772 t=25055
cai dan 	菜单	c=2 d=1.65209 t=25055
cai dao 	猜到	c=1 d=2.68886e-19 t=25055
cai dao 	菜刀	c=0 d=2.6621e-20 t=25055
cai de chu 	猜得出	c=0 d=0.0125556 t=25055
cai dui 	才对	c=1 d=0.647265 t=25055
cai hui 	才会	c=1 d=1.36621e-24 t=25055
cai liao 	材料	c=1 d=0.985112 t=25055
cai neng 	才能	c=5 d=0.0279047 t=25055
cai neng gou 	才能够	c=1 d=3.39007e-10 t=25055
cai niao 	菜鸟	c=4 d=0.00438862 t=25055
cai niao jiao cheng 	菜鸟教程	c=1 d=4.67095e-16 t=25055
cai pin 	菜品	c=6 d=2.22154 t=25055
cai shang guo 	才上过	c=1 d=1.39623e-15 t=25055
cai shi 	才是	c=4 d=0.315162 t=25055
cai wan le 	踩完了	c=1 d=1 t=25055
cai xia ke 	才下课	c=1 d=4.38757e-15 t=25055
cai yi 	才艺	c=0 d=0.0822835 t=25055
cai yi biao yan 	才艺表演	c=1 d=0.826959 t=25055
cai you 	才有	c=3 d=1.57671 t=25055
cai zhi dao 	才知道	c=2 d=7.43991e-31 t=25055
can 	惨	c=2 d=0.748071 t=25055
can fei 	残废	c=1 d=0.384812 t=25055
can jia 	参加	c=1 d=1.92875e-22 t=25055
can kao 	参考	c=3 d=1.1556e-07 t=25055
can kao zi liao 	参考资料	c=1 d=5.09677e-13 t=25055
can pin 	餐品	c=1 d=0.261846 t=25055
can que 	残缺	c=1 d=1.45218e-36 t=25055
can shu 	参数	c=11 d=0.440449 t=25055
can zhao 	参照	c=1 d=2.94509e-31 t=25055
cang ku 	仓库	c=1 d=7.61125e-25 t=25055
cang sang 	沧桑	c=1 d=0.202909 t=25055
cao 	曹	c=2 d=1.55756 t=25055
cao 	草	c=76 d=5.15743 t=25055
cao 	𩞄	c=2 d=2.17419e-37 t=25055
cao xin 	操心	c=0 d=0.0231078 t=25055
cao zhi 	曹植	c=1 d=0.00367942 t=25055
cao zuo 	操作	c=18 d=1.53761 t=25055
ce lve 	策略	c=1 d=1 t=25055
ce shi 	测试	c=16 d=2.25128 t=25055
ce shi ji ou 	测试奇偶	c=1 d=0.951229 t=25055
ce yan 	测验	c=1 d=7.6442e-17 t=25055
ceng 	层	c=6 d=2.06777 t=25055
ceng ci 	层次	c=2 d=0.491 t=25055
ceng mian 	层面	c=1 d=2.02481e-35 t=25055
ceng shu 	层数	c=1 d=0.000876127 t=25055
cha 	差	c=2 d=1.0265 t=25055
cha 	查	c=3 d=0.00251621 t=25055
cha bie 	差别	c=2 d=1.84293e-07 t=25055
cha bu duo 	差不多	c=11 d=2.18796 t=25055
cha dao 	查到	c=1 d=0.970446 t=25055
cha ji kuai 	差几块	c=1 d=2.56033e-31 t=25055
cha jian 	插件	c=9 d=1.00719 t=25055
cha kan 	查看	c=15 d=3.05795 t=25055
cha kan na qi 	查看拿起	c=1 d=0.740818 t=25055
cha kan qi 	查看器	c=1 d=0.744532 t=25055
cha tu 	插图	c=1 d=0.00141589 t=25055
cha xun 	查询	c=3 d=1.61522 t=25055
cha yi 	差异	c=0 d=0.0362402 t=25055
cha yi cha 	查一查	c=1 d=1.3199e-30 t=25055
cha zhao 	查找	c=2 d=4.46957e-34 t=25055
chan 	产	c=0 d=1.04312e-27 t=25055
chan pin xian 	产品线	c=1 d=0.701173 t=25055
chan she gong 	产社工	c=1 d=1.04834e-26 t=25055
chan sheng 	产生	c=1 d=0.169483 t=25055
chang 	厂	c=0 d=1.76851e-32 t=25055
chang 	唱	c=1 d=0.83527 t=25055
chang 	长	c=4 d=3.26391e-05 t=25055
chang chun 	长春	c=7 d=2.19982 t=25055
chang du 	长度	c=5 d=3.11541e-16 t=25055
chang ge 	唱歌	c=1 d=0.831104 t=25055
chang gui 	常规	c=4 d=2.75304e-19 t=25055
chang jian 	常见	c=4 d=2.21019e-06 t=25055
chang jing 	场景	c=4 d=0.995329 t=25055
chang nian 	常年	c=1 d=0.000254808 t=25055
chang qi 	长期	c=1 d=0.431711 t=25055
chang ri qi 	长日期	c=2 d=4.76292e-20 t=25055
chang shang 	厂商	c=1 d=4.01062e-17 t=25055
chang shi 	尝试	c=1 d=5.11605e-28 t=25055
chang shi 	常识	c=0 d=0.071177 t=25055
chang shuo 	常说	c=1 d=4.13923e-06 t=25055
chang ye 	长夜	c=2 d=1.47711e-29 t=25055
chang yong 	常用	c=3 d=0.975329 t=25055
chao 	吵	c=2 d=0.0378169 t=25055
chao 	超	c=1 d=0.228779 t=25055
chao chu 	超出	c=1 d=0.467666 t=25055
chao da 	超大	c=0 d=2.27669e-33 t=25055
chao da sheng 	超大声	c=1 d=2.2881e-32 t=25055
chao dao 	超导	c=2 d=8.22461e-34 t=25055
chao dian ci pao 	超电磁炮	c=1 d=0.839457 t=25055
chao guo 	超过	c=1 d=0.000370744 t=25055
chao liu 	潮流	c=1 d=4.28289e-25 t=25055
chao shen 	超神	c=1 d=4.86571e-26 t=25055
chao shi 	超市	c=1 d=0.225373 t=25055
chao shi 	超时	c=1 d=0.226502 t=25055
chao xian 	朝鲜	c=2 d=0.0988303 t=25055
chao xing 	超星	c=1 d=7.45546e-17 t=25055
chao zhe 	朝着	c=1 d=0.0397558 t=25055
che 	扯	c=1 d=2.87638e-18 t=25055
che 	撤	c=2 d=1.40052 t=25055
che 	车	c=3 d=1.98238e-16 t=25055
che di 	彻底	c=1 d=1.1654e-36 t=25055
che hui 	撤回	c=1 d=0.763379 t=25055
che xiang 	车厢	c=0 d=0.0937067 t=25055
che yuan 	扯远	c=1 d=2.41213e-06 t=25055
chen 	陈	c=0 d=5.04863e-20 t=25055
chen dian 	沉淀	c=2 d=0.000545204 t=25055
chen mi 	沉迷	c=1 d=4.29996e-13 t=25055
chen mo 	沉没	c=1 d=1.93506e-31 t=25055
chen si 	沉思	c=1 d=2.40173e-14 t=25055
chen xin 	称心	c=1 d=0.99005 t=25055
cheng 	乘	c=1 d=2.15676e-13 t=25055
cheng 	成	c=18 d=0.893409 t=25055
cheng 	称	c=1 d=3.91772e-06 t=25055
cheng ben 	成本	c=1 d=1.94476e-31 t=25055
cheng bu liao 	成不了	c=1 d=0.250324 t=25055
cheng bu zhu 	撑不住	c=1 d=0.909373 t=25055
cheng du 	程度	c=5 d=0.819011 t=25055
cheng fa 	乘法	c=1 d=1.82553e-22 t=25055
cheng fa 	惩罚	c=1 d=1.81643e-22 t=25055
cheng fang 	乘方	c=1 d=1.30405e-35 t=25055
cheng fen 	成分	c=1 d=0.172907 t=25055
cheng gong 	成功	c=10 d=1.19639 t=25055
cheng gong guo 	成功过	c=1 d=1.38328e-23 t=25055
cheng gong zhi hou 	成功之后	c=1 d=6.03075e-22 t=25055
cheng ji 	成绩	c=1 d=0.00125254 t=25055
cheng jiu gan 	成就感	c=1 d=0.228779 t=25055
cheng le 	成了	c=1 d=1.93809e-20 t=25055
cheng nuo shu 	承诺书	c=1 d=0.519442 t=25055
cheng ren 	成人	c=1 d=0.818731 t=25055
cheng ren 	承认	c=1 d=1.18486e-25 t=25055
cheng shu 	成熟	c=1 d=0.548812 t=25055
cheng tian 	成天	c=3 d=0.726149 t=25055
cheng xu 	程序	c=13 d=2.47538 t=25055
cheng xu yuan 	程序员	c=2 d=2.56518e-08 t=25055
cheng yuan 	成员	c=2 d=5.84456e-06 t=25055
cheng yuan han shu 	成员函数	c=1 d=7.55631e-28 t=25055
cheng zhang 	成长	c=1 d=0.000261259 t=25055
cheng zhi wei 	称之为	c=1 d=3.7363e-07 t=25055
chi 	吃	c=2 d=1.65599 t=25055
chi chu 	彳亍	c=15 d=1.66528 t=25055
chi fan 	吃饭	c=1 d=0.697676 t=25055
chi jiu hua 	持久化	c=1 d=0.878095 t=25055
chi zi 	池子	c=1 d=0.554082 t=25055
chong 	充	c=1 d=6.43906e-28 t=25055
chong 	冲	c=4 d=0.562338 t=25055
chong 	重	c=1 d=0.755784 t=25055
chong chong 	重重	c=1 d=0.136695 t=25055
chong chuan 	重传	c=2 d=0.781141 t=25055
chong ci 	冲刺	c=1 d=0.136014 t=25055
chong dian 	充电	c=1 d=6.40695e-28 t=25055
chong fu 	重复	c=8 d=0.128093 t=25055
chong fu xiang 	重复项	c=1 d=7.33298e-28 t=25055
chong he du 	重合度	c=1 d=0.955997 t=25055
chong ji bo 	冲击波	c=3 d=0.00491728 t=25055
chong neng 	充能	c=0 d=0.0704688 t=25055
chong neng sheng 	充能绳	c=1 d=0.70822 t=25055
chong qi 	重启	c=1 d=5.68439e-32 t=25055
chong qu 	冲去	c=0 d=0.0289384 t=25055
chong tu 	冲突	c=1 d=0.394554 t=25055
chong xin 	重新	c=5 d=0.737123 t=25055
chong xing 	宠幸	c=1 d=0.733447 t=25055
chong xiu 	重修	c=1 d=0.0122161 t=25055
chong ying 	充盈	c=1 d=0.0142642 t=25055
chong zai 	虫灾	c=1 d=1.32746e-09 t=25055
chong zai 	重载	c=7 d=0.988371 t=25055
chong zhi 	充值	c=1 d=0.606531 t=25055
chong zhi 	重置	c=1 d=0.609571 t=25055
chong zhuang 	重装	c=2 d=3.91825e-28 t=25055
chou 	仇	c=1 d=0.479505 t=25055
chou 	愁	c=1 d=0.484325 t=25055
chou 	抽	c=2 d=1.29633e-14 t=25055
chou feng 	抽风	c=1 d=0.704688 t=25055
chou xiang 	抽象	c=13 d=0.00436124 t=25055
chu 	出	c=6 d=1.10077 t=25055
chu 	除	c=2 d=3.70304e-19 t=25055
chu bei 	储备	c=2 d=0.554992 t=25055
chu bu 	初步	c=1 d=1.58704e-22 t=25055
chu cun 	储存	c=1 d=4.595e-29 t=25055
chu cuo 	出错	c=4 d=1.07427e-15 t=25055
chu fei 	除非	c=1 d=0.506617 t=25055
chu gei 	出给	c=1 d=3.41705e-15 t=25055
chu guo 	出国	c=1 d=1.22074e-23 t=25055
chu guo 	出过	c=1 d=1.22686e-23 t=25055
chu lai 	出来	c=14 d=1.60006 t=25055
chu le 	出了	c=2 d=0.124307 t=25055
chu le 	除了	c=4 d=0.690734 t=25055
chu li 	处理	c=24 d=0.515743 t=25055
chu li qi 	处理器	c=1 d=0.000401622 t=25055
chu ming 	出名	c=1 d=2.39179e-24 t=25055
chu qi 	出奇	c=1 d=5.41654e-23 t=25055
chu qu 	出去	c=1 d=0.336216 t=25055
chu sheng 	出生	c=3 d=1.32386e-15 t=25055
chu shi 	出事	c=1 d=2.73089e-25 t=25055
chu shi hua 	初始化	c=5 d=1.89748 t=25055
chu shi pin 	出视频	c=1 d=6.28436e-36 t=25055
chu shou 	出手	c=2 d=1.17472 t=25055
chu ti 	出题	c=1 d=1.77496e-15 t=25055
chu wen ti 	出问题	c=2 d=2.58211e-13 t=25055
chu xian 	出现	c=23 d=1.11597 t=25055
chu yin wei lai 	初音未来	c=1 d=1.1562e-31 t=25055
chu zhong 	初中	c=2 d=0.565185 t=25055
chuan 	串	c=0 d=2.39594e-16 t=25055
chuan 	传	c=3 d=1.9727e-08 t=25055
chuan 	穿	c=1 d=0.514274 t=25055
chuan 	船	c=1 d=1.04546e-23 t=25055
chuan can 	传参	c=5 d=0.0397558 t=25055
chuan can 	川参	c=1 d=1.31788e-12 t=25055
chuan ci 	穿刺	c=1 d=6.72856e-16 t=25055
chuan da 	传达	c=1 d=1.48509e-35 t=25055
chuan da 	川大	c=1 d=1.5151e-35 t=25055
chuan dao 	传到	c=1 d=1.87366e-34 t=25055
chuan de 	穿得	c=1 d=0.543351 t=25055
chuan di 	传递	c=5 d=1.10177 t=25055
chuan di dao 	传递到	c=1 d=5.63472e-17 t=25055
chuan gan qi 	传感器	c=2 d=1.66312e-34 t=25055
chuan jin lai 	传进来	c=2 d=9.1729e-07 t=25055
chuan kou 	串口	c=1 d=0.856415 t=25055
chuan ru 	传入	c=3 d=7.42344e-05 t=25055
chuan shu 	传输	c=7 d=2.61539 t=25055
chuan shuo zhong 	传说中	c=1 d=0.00479587 t=25055
chuan tong 	传统	c=1 d=2.45576e-11 t=25055
chuan zhen 	穿针	c=1 d=1 t=25055
chuang jian 	创建	c=6 d=4.12098e-16 t=25055
chuang kou 	窗口	c=6 d=4.31095 t=25055
chuang shang 	床上	c=0 d=0.0631284 t=25055
chuang shang shui 	床上睡	c=1 d=0.634448 t=25055
chuang xin 	创新	c=1 d=2.25913e-15 t=25055
chuang xin dian 	创新点	c=1 d=1.87531e-15 t=25055
chuang xin xing 	创新性	c=1 d=4.98549e-18 t=25055
chuang yi 	创意	c=1 d=0.579842 t=25055
chui 	吹	c=2 d=3.02575e-31 t=25055
chun 	纯	c=17 d=0.150475 t=25055
chun 	蠢	c=1 d=0.489192 t=25055
chun ai 	纯爱	c=0 d=0.013332 t=25055
chun ai zhan shi 	纯爱战士	c=1 d=0.133989 t=25055
chun jing 	纯净	c=1 d=4.37848e-20 t=25055
chun wen ben 	纯文本	c=5 d=3.41888e-19 t=25055
chun you zhi 	纯右值	c=1 d=2.46086e-06 t=25055
chun zai 	纯在	c=2 d=0.244254 t=25055
chun zheng 	纯正	c=1 d=0.128093 t=25055
chun zuo zhi 	纯左值	c=1 d=4.0169e-06 t=25055
ci 	次	c=0 d=4.43922e-36 t=25055
ci 	词	c=2 d=0.657947 t=25055
ci chuan 	刺穿	c=1 d=6.02768e-16 t=25055
ci dian 	词典	c=4 d=4.35451e-14 t=25055
ci fang 	次方	c=2 d=4.631e-22 t=25055
ci ku 	词库	c=8 d=6.20419e-14 t=25055
ci tiao 	词条	c=3 d=2.84019 t=25055
ci yuan 	次元	c=1 d=0.524663 t=25055
ci yuan 	词源	c=1 d=0.522046 t=25055
cong 	从	c=41 d=6.41125 t=25055
cong ai 	从爱	c=1 d=1.19657e-23 t=25055
cong ci zhi hou 	从此之后	c=1 d=3.8794e-08 t=25055
cong er 	从而	c=2 d=2.72764e-11 t=25055
cong he 	从何	c=1 d=2.18177e-31 t=25055
cong lai 	从来	c=2 d=0.219808 t=25055
cong ming 	聪明	c=2 d=5.34516e-14 t=25055
cong mou zhong yi yi shang 	从某种意义上	c=1 d=0.254107 t=25055
cong rong 	从容	c=1 d=2.71403e-11 t=25055
cong zhan dian 	从站点	c=1 d=0.882497 t=25055
cu lai 	粗来	c=1 d=5.64353e-06 t=25055
cui zhe 	催着	c=1 d=2.65297e-08 t=25055
cun 	存	c=4 d=1.05904e-15 t=25055
cun chu 	存储	c=1 d=2.20753e-22 t=25055
cun fang 	存放	c=0 d=1.10153e-21 t=25055
cun fang dao 	存放到	c=1 d=1.10705e-20 t=25055
cun hu 	存护	c=5 d=0.00515795 t=25055
cun min 	村民	c=1 d=0.0015648 t=25055
cuo 	错	c=1 d=0.631284 t=25055
cuo ci 	措辞	c=0 d=0.00246002 t=25055
cuo gu 	错估	c=1 d=0.57695 t=25055
cuo wu 	错误	c=30 d=3.23489 t=25055
da 	大	c=6 d=2.51669e-06 t=25055
da 	打	c=13 d=2.97707 t=25055
da 	答	c=1 d=0.923116 t=25055
da an 	答案	c=3 d=0.729721 t=25055
da bai 	打败	c=1 d=2.98035e-24 t=25055
da bao 	打包	c=1 d=0.327915 t=25055
da bao gao 	打报告	c=1 d=4.55639e-18 t=25055
da ben 	打本	c=1 d=0.00990218 t=25055
da bu fen 	大部分	c=1 d=0.272532 t=25055
da bu fen ren 	大部分人	c=1 d=4.31917e-36 t=25055
da bu kai 	打不开	c=1 d=1.49874e-25 t=25055
da cheng 	大成	c=1 d=4.43771e-31 t=25055
da dan 	大胆	c=2 d=0.19593 t=25055
da de 	打得	c=1 d=0.00128115 t=25055
da dian 	大点	c=2 d=2.20857e-07 t=25055
da dian hua 	打电话	c=4 d=1.65952 t=25055
da die 	大碟	c=1 d=0.00869506 t=25055
da er 	大二	c=1 d=1.07397e-16 t=25055
da fen 	打分	c=1 d=0.216536 t=25055
da gai 	大概	c=9 d=0.873784 t=25055
da ge 	大哥	c=1 d=0.822835 t=25055
da guan 	大官	c=1 d=0.535261 t=25055
da guo 	打过	c=1 d=2.87834e-26 t=25055
da hua 	搭话	c=1 d=0.157237 t=25055
da huo 	大伙	c=8 d=1.77564 t=25055
da jia 	大家	c=1 d=0.186374 t=25055
da jia 	打架	c=1 d=0.680451 t=25055
da jia huo 	大家伙	c=1 d=0.771052 t=25055
da kai 	打开	c=7 d=1.14512 t=25055
da kuo hao 	大括号	c=2 d=2.50452e-07 t=25055
da lao 	大佬	c=4 d=1.0564 t=25055
da li 	大力	c=0 d=4.37238e-34 t=25055
da li na ge 	大力那个	c=2 d=3.55408e-07 t=25055
da liang 	大量	c=1 d=3.55408e-08 t=25055
da liang mu ban 	大量模板	c=1 d=3.57189e-07 t=25055
da liu 	大流	c=1 d=0.0191216 t=25055
da luan dou 	大乱斗	c=1 d=0.810584 t=25055
da nao 	大脑	c=1 d=0.000528747 t=25055
da nv quan 	打女拳	c=1 d=0.227638 t=25055
da nv xing 	打女性	c=1 d=0.304221 t=25055
da pei 	搭配	c=4 d=0.744532 t=25055
da rao 	打扰	c=1 d=5.62399e-24 t=25055
da ren 	打人	c=1 d=0.055299 t=25055
da san 	大三	c=1 d=1.68518e-22 t=25055
da san shang 	大三上	c=1 d=2.52926e-05 t=25055
da shan ren 	大善人	c=1 d=8.60973e-34 t=25055
da sheng 	大声	c=1 d=0.451581 t=25055
da shi 	大使	c=1 d=0.66365 t=25055
da shu 	大叔	c=1 d=0.97531 t=25055
da shu zi 	大数字	c=1 d=1.78939e-22 t=25055
da shu zu 	大数组	c=1 d=3.89951e-10 t=25055
da suan 	打算	c=2 d=0.995012 t=25055
da ti 	大体	c=1 d=0.826959 t=25055
da tou 	大头	c=1 d=0.603506 t=25055
da wan 	打完	c=0 d=0.0729789 t=25055
da wan dian hua 	打完电话	c=1 d=0.733447 t=25055
da wang 	大王	c=1 d=1.3505e-35 t=25055
da xiao 	大小	c=11 d=6.7686 t=25055
da xue 	大学	c=6 d=0.985112 t=25055
da xue sheng huo 	大学生活	c=1 d=1.21991e-15 t=25055
da ye 	大爷	c=1 d=1.61685e-35 t=25055
da ye 	打野	c=1 d=1.62495e-35 t=25055
da yi 	大一	c=5 d=0.914676 t=25055
da yi 	大意	c=1 d=3.42822e-24 t=25055
da yi bian 	打一遍	c=1 d=0.891366 t=25055
da yin 	打印	c=15 d=1.55726 t=25055
da you xi 	打游戏	c=3 d=0.970446 t=25055
da yue ka 	大月卡	c=2 d=5.43103e-26 t=25055
da zao tang 	大澡堂	c=1 d=1.40586e-37 t=25055
da zhan 	大战	c=2 d=0.679682 t=25055
da zhao 	大招	c=2 d=1.59106 t=25055
da zi 	打字	c=1 d=0.810584 t=25055
da zuo ye 	大作业	c=2 d=0.373439 t=25055
dai 	代	c=10 d=3.66175 t=25055
dai 	带	c=7 d=0.117068 t=25055
dai 	戴	c=1 d=0.384812 t=25055
dai biao 	代表	c=5 d=1.55434 t=25055
dai cai 	带材	c=1 d=0.198891 t=25055
dai can 	代餐	c=7 d=2.08011 t=25055
dai ji 	待机	c=3 d=4.78809e-26 t=25055
dai la 	黛拉	c=1 d=3.31436e-09 t=25055
dai lai 	带来	c=2 d=0.0227089 t=25055
dai li 	代理	c=4 d=2.899 t=25055
dai ma 	代码	c=83 d=2.91037 t=25055
dai ma kuai 	代码块	c=1 d=0.612626 t=25055
dai shen me 	带什么	c=1 d=6.71119e-15 t=25055
dai shu 	代数	c=2 d=0.970206 t=25055
dai shu 	袋鼠	c=1 d=0.0361528 t=25055
dai ti 	代替	c=2 d=1.97045 t=25055
dai yi ge 	带一个	c=1 d=1.02086e-37 t=25055
dan 	但	c=0 d=1.69127e-36 t=25055
dan 	单	c=1 d=0.0232236 t=25055
dan chun 	单纯	c=1 d=0.50409 t=25055
dan ci 	单词	c=1 d=1.27276e-14 t=25055
dan cong 	但从	c=1 d=3.50773e-29 t=25055
dan dan 	单单	c=1 d=9.96029e-14 t=25055
dan dan 	淡淡	c=1 d=2.61926e-34 t=25055
dan du 	单独	c=2 d=1.10457e-23 t=25055
dan fan 	但凡	c=2 d=1.88825 t=25055
dan fang mian 	单方面	c=1 d=0.97531 t=25055
dan hai 	但还	c=0 d=0.0267135 t=25055
dan hai si 	但还嘶	c=1 d=0.268474 t=25055
dan lian 	单恋	c=0 d=0.00992613 t=25055
dan lian biao 	单恋标	c=1 d=0.0997588 t=25055
dan mu 	弹幕	c=2 d=0.0123658 t=25055
dan mu wen 	弹幕问	c=1 d=0.0109436 t=25055
dan qu xun huan 	单曲循环	c=1 d=0.283654 t=25055
dan shi 	但是	c=163 d=7.39302 t=25055
dan shi wo 	但是我	c=1 d=0.985112 t=25055
dan tui 	单推	c=1 d=0.240508 t=25055
dan tui 	单腿	c=1 d=0.16696 t=25055
dan tui ren 	单推人	c=1 d=0.2334 t=25055
dan yuan ge 	单元格	c=7 d=8.40936e-18 t=25055
dang 	当	c=8 d=0.773891 t=25055
dang cheng 	当成	c=0 d=1.08794e-22 t=25055
dang cheng shi 	当成是	c=1 d=1.09339e-21 t=25055
dang chu 	当初	c=1 d=1.76821e-29 t=25055
dang dang dang dang 	当当当当	c=1 d=1.91815e-16 t=25055
dang mian 	当面	c=2 d=0.394959 t=25055
dang ni 	当你	c=1 d=0.501576 t=25055
dang nian 	当年	c=1 d=2.54895e-08 t=25055
dang qi 	当期	c=0 d=0.0941765 t=25055
dang qi na 	当期那	c=1 d=0.946485 t=25055
dang qian 	当前	c=4 d=1.87565 t=25055
dang qian mu lu 	当前目录	c=1 d=0.0188734 t=25055
dang ran 	当然	c=8 d=0.980974 t=25055
dang re ai 	当热爱	c=1 d=1.45623e-10 t=25055
dang shi 	当时	c=15 d=3.17125 t=25055
dang shi ren 	当事人	c=2 d=1.27277 t=25055
dang wo 	当我	c=1 d=1.84708e-13 t=25055
dang wu zhi ji 	当务之急	c=1 d=0.588605 t=25055
dang xin 	当心	c=2 d=3.64591e-13 t=25055
dang zuo 	当作	c=1 d=1.4467e-21 t=25055
dao 	倒	c=3 d=0.440432 t=25055
dao 	到	c=31 d=6.0073 t=25055
dao di 	到底	c=13 d=2.32988 t=25055
dao di shi 	到底是	c=1 d=1.03095e-35 t=25055
dao hang lan 	导航栏	c=2 d=0.633282 t=25055
dao la 	倒拉	c=1 d=0.923116 t=25055
dao le 	到了	c=1 d=2.10788e-08 t=25055
dao li 	道理	c=1 d=1.55345e-35 t=25055
dao lun 	导论	c=1 d=3.4753e-08 t=25055
dao po 	道破	c=1 d=8.14205e-24 t=25055
dao qian 	道歉	c=1 d=8.78067e-30 t=25055
dao ru 	导入	c=7 d=6.15508e-14 t=25055
dao shi hou 	到时候	c=6 d=0.040376 t=25055
dao shu 	倒数	c=1 d=2.51399e-22 t=25055
dao wei 	到位	c=0 d=5.27006e-25 t=25055
dao xian zai 	到现在	c=2 d=0.932394 t=25055
dao ye 	倒也	c=1 d=0.348192 t=25055
dao you xie 	倒有些	c=1 d=2.60717e-09 t=25055
dao zhe 	到这	c=1 d=4.31476e-24 t=25055
dao zhi 	导致	c=9 d=1.50799 t=25055
dao zhu 	导助	c=2 d=1.01184 t=25055
dao zui hou 	到最后	c=1 d=0.557106 t=25055
de 	地	c=12 d=1.2716 t=25055
de 	得	c=13 d=1.16461 t=25055
de 	德	c=1 d=0.000395642 t=25055
de 	的	c=1497 d=25.2028 t=25055
de bu dao 	得不到	c=1 d=0.631284 t=25055
de chu lai 	得出来	c=0 d=0.0116484 t=25055
de dao 	得到	c=5 d=0.637628 t=25055
de le 	得了	c=6 d=2.30982 t=25055
de shang 	的上	c=0 d=6.79619e-17 t=25055
de wo 	得我	c=0 d=1.90165e-33 t=25055
dei 	得	c=3 d=0.585669 t=25055
dei cong 	得从	c=1 d=0.031117 t=25055
den gui 	扽鬼	c=1 d=0.460704 t=25055
deng 	登	c=3 d=0.479256 t=25055
deng 	等	c=7 d=1.22333 t=25055
deng bu shang 	登不上	c=1 d=0.860708 t=25055
deng dao 	等到	c=3 d=1.27343 t=25055
deng deng 	等等	c=6 d=2.4833 t=25055
deng hui 	灯会	c=5 d=0.465334 t=25055
deng hui 	等会	c=4 d=0.470011 t=25055
deng jia 	等价	c=3 d=1.06054e-06 t=25055
deng le 	等了	c=1 d=1.18773e-24 t=25055
deng lu 	登录	c=7 d=2.3552 t=25055
deng ni 	等你	c=4 d=5.76103e-18 t=25055
deng tong yu 	等同于	c=3 d=3.03439e-09 t=25055
deng tong yu you 	等同于有	c=1 d=1.51175e-09 t=25055
deng wo 	等我	c=1 d=2.8087e-32 t=25055
deng zhe 	等着	c=5 d=0.358796 t=25055
deng zhi dao 	等知道	c=1 d=3.5186e-36 t=25055
di 	低	c=1 d=0.203513 t=25055
di 	地	c=1 d=0.171187 t=25055
di 	第	c=3 d=0.12493 t=25055
di bu 	底部	c=1 d=0.606531 t=25055
di da 	滴答	c=2 d=1.0807 t=25055
di di da da 	滴滴答答	c=1 d=4.51336e-24 t=25055
di er 	第二	c=2 d=0.331211 t=25055
di er ci 	第二次	c=0 d=1.43158e-16 t=25055
di er ci ke 	第二次课	c=1 d=1.43875e-15 t=25055
di er ge 	第二个	c=5 d=5.59733e-06 t=25055
di er hang 	第二行	c=3 d=3.00836e-17 t=25055
di er lei 	第二类	c=1 d=0.142987 t=25055
di er tian 	第二天	c=1 d=1.50887e-16 t=25055
di er zhang 	第二章	c=3 d=1.87678e-16 t=25055
di er zhong 	第二种	c=2 d=3.69955e-09 t=25055
di fang 	地方	c=7 d=1.51019 t=25055
di fang zai yu 	地方在于	c=1 d=7.47603e-20 t=25055
di gui 	递归	c=2 d=0.124956 t=25055
di kang 	抵抗	c=1 d=0.00860854 t=25055
di liu zhang 	第六章	c=2 d=0.960412 t=25055
di san fang 	第三方	c=1 d=1.19864e-14 t=25055
di san ge 	第三个	c=4 d=0.336216 t=25055
di san lei 	第三类	c=0 d=0.0167797 t=25055
di san lei cuo wu 	第三类错误	c=1 d=0.168638 t=25055
di san zhang 	第三章	c=1 d=0.923116 t=25055
di shang 	地上	c=1 d=0.869358 t=25055
di si 	第四	c=0 d=0.0280832 t=25055
di si lei 	第四类	c=1 d=0.282239 t=25055
di si zhang 	第四章	c=3 d=1.92671 t=25055
di tie 	地铁	c=3 d=2.86207e-05 t=25055
di wei 	地位	c=3 d=0.165996 t=25055
di wu 	第五	c=0 d=3.29212e-19 t=25055
di wu pai 	第五排	c=1 d=3.30862e-18 t=25055
di xia 	底下	c=8 d=0.68493 t=25055
di yi 	第一	c=1 d=2.28305e-06 t=25055
di yi ci 	第一次	c=5 d=2.16649 t=25055
di yi ge 	第一个	c=14 d=1.36841 t=25055
di yi hang 	第一行	c=2 d=8.99377e-18 t=25055
di yi ju 	第一句	c=1 d=0.782705 t=25055
di yi lei 	第一类	c=1 d=0.965605 t=25055
di yi lie 	第一列	c=2 d=1.14339e-17 t=25055
di yi tian 	第一天	c=1 d=4.01404e-27 t=25055
di yi zhang 	第一章	c=1 d=8.88129e-17 t=25055
di yi zhong 	第一种	c=2 d=4.88344e-06 t=25055
di yu 	低于	c=1 d=0.571209 t=25055
di yun 	底蕴	c=1 d=0.771052 t=25055
di zhi 	地址	c=23 d=7.72428 t=25055
dian 	典	c=1 d=1.04294e-24 t=25055
dian 	垫	c=1 d=0.421052 t=25055
dian 	店	c=1 d=0.965605 t=25055
dian 	点	c=23 d=3.14445 t=25055
dian ci 	点此	c=1 d=9.27714e-30 t=25055
dian ci pao 	电磁炮	c=0 d=0.083527 t=25055
dian hua 	电话	c=0 d=0.0729789 t=25055
dian ji 	点击	c=2 d=0.341298 t=25055
